Reference,Quantity, Part#, Value, Footprint, Datasheet, Vendor
J38,12,36-7691-ND ,Screw_Terminal_01x01,terminals:screw_terminal_7.0mmx5.0mm,http://keyelco.com/userAssets/file/M65p66.pdf,Digikey
J43,12,36-7691-ND ,Screw_Terminal_01x01,terminals:screw_terminal_7.0mmx5.0mm,http://keyelco.com/userAssets/file/M65p66.pdf,Digikey
J41,12,36-7691-ND ,Screw_Terminal_01x01,terminals:screw_terminal_7.0mmx5.0mm,http://keyelco.com/userAssets/file/M65p66.pdf,Digikey
J44,12,36-7691-ND ,Screw_Terminal_01x01,terminals:screw_terminal_7.0mmx5.0mm,http://keyelco.com/userAssets/file/M65p66.pdf,Digikey
J42,12,36-7691-ND ,Screw_Terminal_01x01,terminals:screw_terminal_7.0mmx5.0mm,http://keyelco.com/userAssets/file/M65p66.pdf,Digikey
J47,12,36-7691-ND ,Screw_Terminal_01x01,terminals:screw_terminal_7.0mmx5.0mm,http://keyelco.com/userAssets/file/M65p66.pdf,Digikey
J45,12,36-7691-ND ,Screw_Terminal_01x01,terminals:screw_terminal_7.0mmx5.0mm,http://keyelco.com/userAssets/file/M65p66.pdf,Digikey
J48,12,36-7691-ND ,Screw_Terminal_01x01,terminals:screw_terminal_7.0mmx5.0mm,http://keyelco.com/userAssets/file/M65p66.pdf,Digikey
J46,12,36-7691-ND ,Screw_Terminal_01x01,terminals:screw_terminal_7.0mmx5.0mm,http://keyelco.com/userAssets/file/M65p66.pdf,Digikey
J49,12,36-7691-ND ,Screw_Terminal_01x01,terminals:screw_terminal_7.0mmx5.0mm,http://keyelco.com/userAssets/file/M65p66.pdf,Digikey
J50,12,36-7691-ND ,Screw_Terminal_01x01,terminals:screw_terminal_7.0mmx5.0mm,http://keyelco.com/userAssets/file/M65p66.pdf,Digikey
J34,12,WM15036-ND,Conn_01x02,Connector_Molex:Molex_Nano-Fit_105309-xx02_1x02_P2.50mm_Vertical,http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-1223.PDF,Digikey
,576,36-78-ND,,,,
, ,,,,,
, ,,,  ,,
, ,,,  ,,
, ,,,,,
, ,,,,,
, ,,,,,
, ,,,,,
